参数,扰动,被动acc,半主动最优acc,提升%,半主动更优
m_s,+20%,1.1669511063592688,1.1223769616367583,3.819709710167369,True
m_s,-20%,1.6670717810267695,1.5387988491744917,7.694505618304744,True
m_u,+20%,1.3728072060674945,1.3002409321046344,5.285977057968061,True
m_u,-20%,1.360856214986227,1.284539236504423,5.608011900256226,True
k_s,+20%,1.4475411245527536,1.4160838090000731,2.173155222957818,True
k_s,-20%,1.2981679029546498,1.1567875015819795,10.890763902796113,True
k_t,+20%,1.4622063663286684,1.3526304185153546,7.493877084425428,True
k_t,-20%,1.2650492208374655,1.2226897977734765,3.3484407062001074,True
c0,+20%,1.4329965060910514,1.292670384629531,9.792495715450414,True
c0,-20%,1.3146050489418084,1.292670384629531,1.668536442175817,True
